course_id,course_name,duration,provider,course_url,recommendation_category,source
IGOT_025,Effective Techniques To Manage Stress,2 hr 6 mins,The Art of Living,https://portal.igotkarmayogi.gov.in/app/toc/do_1141092102809026561317,Behavioral - JS & Above,iGOT NLW 2024
IGOT_026,Critical Thinking,1 hr 51 mins,ISB Hyderabad,https://portal.igotkarmayogi.gov.in/app/toc/do_113950139420188672133,Behavioral - JS & Above,iGOT NLW 2024
IGOT_027,Workplace Wellbeing,1 hr 2 mins,Harappa Education,https://portal.igotkarmayogi.gov.in/app/toc/do_1140094766861025281328,Behavioral - JS & Above,iGOT NLW 2024
IGOT_028,Managing and Leading Teams,1 hr 40 mins,ISB Hyderabad,https://portal.igotkarmayogi.gov.in/app/toc/do_113955620332421120130,Behavioral - JS & Above,iGOT NLW 2024
IGOT_029,Negotiation,3 hr 45 mins,ISB Hyderabad,https://portal.igotkarmayogi.gov.in/app/toc/do_113945207591919616158,Behavioral - JS & Above,iGOT NLW 2024
IGOT_030,Meditation - Principles and Practices,49 mins,National Academy of Defence Production (NADP) Nagpur,https://portal.igotkarmayogi.gov.in/app/toc/do_1140556081785077761139,Behavioral - JS & Above,iGOT NLW 2024
IGOT_031,Communication for Citizen-Centricity,1 hr 35 min,DoPT,https://portal.igotkarmayogi.gov.in/app/toc/do_11384383331773644811,Behavioral - JS & Above,iGOT NLW 2024
IGOT_032,Overview of Gender Sensitization,1 hr 31 mins,Department of Posts,https://portal.igotkarmayogi.gov.in/app/toc/do_1141342887585955841186,Behavioral - JS & Above,iGOT NLW 2024
IGOT_033,Prevention of Sexual Harassment of Women at Workplace,1 hr 51 min,ISTM,https://portal.igotkarmayogi.gov.in/app/toc/do_113569878939262976132,Behavioral - JS & Above,iGOT NLW 2024
IGOT_034,Gender Sensitization - 1,1 hr 15 min,ISTM,https://portal.igotkarmayogi.gov.in/app/toc/do_1138120582228295681213,Behavioral - JS & Above,iGOT NLW 2024
IGOT_035,Gender Sensitization - 2,50 min,ISTM,https://portal.igotkarmayogi.gov.in/app/toc/do_113855798330294272152,Behavioral - JS & Above,iGOT NLW 2024
IGOT_036,Preparation of Cabinet Notes,5 hr 10 mins,ISTM,https://portal.igotkarmayogi.gov.in/app/toc/do_1136287503458631681689,Functional - Director/DS,iGOT NLW 2024
IGOT_037,Noting And Drafting,2 hr 6 mins,ISTM,https://portal.igotkarmayogi.gov.in/app/toc/do_1135948071783301121144,Behavioral - Director/DS,iGOT NLW 2024
IGOT_038,Responsible Data Management,1 hr 58 mins,DataDotOrg,https://portal.igotkarmayogi.gov.in/app/toc/do_1140994741049999361127,Behavioral - Director/DS,iGOT NLW 2024
IGOT_039,Stress Management,1 hr 54 mins,Indian Institute of Public Administrations,https://portal.igotkarmayogi.gov.in/app/toc/do_1134122937914327041177,Behavioral - Director/DS,iGOT NLW 2024
IGOT_040,Basics of Communication,1 hr 10 mins,IIMC,https://portal.igotkarmayogi.gov.in/app/toc/do_1141085925442682881296,Behavioral - Director/DS,iGOT NLW 2024
IGOT_041,Digital Literacy,2 hr 6 min,Bharat Sanchar Nigam Limited (BSNL),https://portal.igotkarmayogi.gov.in/app/toc/do_113828944907091968176,Behavioral - Director/DS,iGOT NLW 2024
IGOT_042,Cyber Security Basics,2 hr 22 min,Microsoft,https://portal.igotkarmayogi.gov.in/app/toc/do_113814138061455360187,Behavioral - ASO to US,iGOT NLW 2024
IGOT_043,Training Module on Swachata Hi Seva,20 min,Ministry of Housing and Urban Affairs,https://portal.igotkarmayogi.gov.in/app/toc/do_1141533540853432321675,Behavioral - ASO to US,iGOT NLW 2024
IGOT_044,Fundamentals of Computer Systems and Internet Technologies,2 hr 17 mins,NIELIT,https://portal.igotkarmayogi.gov.in/app/toc/do_1140987239246069761105,All,iGOT NLW 2024
IGOT_045,Fundamentals of Computer Systems and Internet Technology,2 hr 11 mins,NIELIT,https://portal.igotkarmayogi.gov.in/app/toc/do_1141015401974824961204,All,iGOT NLW 2024
IGOT_046,Office Procedure - Updated,2 hr 17 mins,Institute of Secretariat Training and Management,https://portal.igotkarmayogi.gov.in/app/toc/do_1141135055139635201377,All,iGOT NLW 2024
IGOT_047,Mission Karmayogi Guidelines,1 hr 30 mins,Institute of Secretariat Training and Management,https://portal.igotkarmayogi.gov.in/app/toc/do_1141382644236533761278,All,iGOT NLW 2024
IGOT_048,An Introduction to Science Communication,4 hr,Fast India,https://portal.igotkarmayogi.gov.in/app/toc/do_11371798254448640012,Senior Scientists,iGOT NLW 2024
IGOT_049,Science Diplomacy,2 hr 20 min,Research and Information System,https://portal.igotkarmayogi.gov.in/app/toc/do_1141107922784911361319,Senior Scientists,iGOT NLW 2024
IGOT_050,Responsible AI in the Generative AI Era,1 hr 14 min,Fractal,https://portal.igotkarmayogi.gov.in/app/toc/do_114094544732119040129,Senior Scientists,iGOT NLW 2024
IGOT_051,Code of Conduct Rules for Scientists and Technologists,2 hr 20 min,Capacity Building Commission,https://portal.igotkarmayogi.gov.in/app/toc/do_11364312626271846411410,Senior Scientists,iGOT NLW 2024
IGOT_052,Utility of National Geoscience Data Repository,1 hr 29 min,Geographical Survey of India,https://portal.igotkarmayogi.gov.in/app/toc/do_1140684959683543041264,Senior Scientists,iGOT NLW 2024
IGOT_053,Navigating Climate Challenges - A Guide for Civil Servants,1 hr 34 min,Dalberg Advisors,https://portal.igotkarmayogi.gov.in/app/toc/do_11397616050638848015,Senior Scientists,iGOT NLW 2024
IGOT_054,Remote Sensing Techniques in Mineral Exploration,1 hr 22 min,Geographical Survey of India,https://portal.igotkarmayogi.gov.in/app/toc/do_1140811592095825921665,Senior Scientists,iGOT NLW 2024
IGOT_055,Gravity and Magnetic Data Interpretation,1 hr 23 min,Geographical Survey of India,https://portal.igotkarmayogi.gov.in/app/toc/do_114083432425570304115,Senior Scientists,iGOT NLW 2024
IGOT_056,Introduction to Grants Management for Research,2 hr 13 min,Capacity Building Commission,https://portal.igotkarmayogi.gov.in/app/toc/do_1140802630098206721492,Senior Scientists,iGOT NLW 2024
IGOT_057,Proficiency in Technical and Scientific Writing,1 hr 58 min,Capacity Building Commission,https://portal.igotkarmayogi.gov.in/app/toc/do_11390571206983680011,Senior Scientists,iGOT NLW 2024
IGOT_058,Basic Computer Course for New Entrants,36 min 41 sec,Sashastra Seema Bal (SSB),https://portal.igotkarmayogi.gov.in/app/toc/do_1138961441599242241313,MTS,iGOT NLW 2024
IGOT_059,Multi Tasking Karmayogi - Prarambh,3 hr 40 min,Department of Posts,https://portal.igotkarmayogi.gov.in/app/toc/do_1138977972773601281437,MTS,iGOT NLW 2024
IGOT_060,Fundamentals of Computer Systems and Internet Technologies,2 hr 17 mins,NIELIT,https://portal.igotkarmayogi.gov.in/app/toc/do_1140987239246069761105,All,iGOT NLW 2024
