competency_id,competency_name,competency_type,area,description,source,source_url
COMP_015,Multivariate Analysis,Functional,Statistical Analysis,Application of multivariate statistical techniques,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2020-21.pdf
COMP_016,Monitoring and Evaluation,Functional,Programme Evaluation,Ability to monitor programmes and evaluate outcomes using appropriate methods,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2020-21.pdf
COMP_017,Sampling Methods,Functional,Survey Methodology,Application of sampling methods and techniques used in large-scale sample surveys,NSSTA,https://nssta.gov.in/offerings
COMP_018,National Accounts Statistics,Domain,Official Statistics,Understanding and application of national accounts concepts and statistical compilation,NSSTA,https://nssta.gov.in/offerings
COMP_019,Price Statistics,Domain,Official Statistics,Understanding and analysis of price statistics and price indices,NSSTA,https://nssta.gov.in/offerings
COMP_020,Social Statistics,Domain,Official Statistics,Understanding and application of statistical methods for social-sector statistics,NSSTA,https://nssta.gov.in/offerings
COMP_021,Demography and Population Studies,Domain,Official Statistics,Understanding demographic and population statistics and their applications,NSSTA,https://nssta.gov.in/offerings
COMP_022,Economic and Financial Statistics,Domain,Official Statistics,Understanding and analysis of economic and financial statistics,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2020-21.pdf
COMP_023,Poverty and Inequality Estimation,Domain,Official Statistics,Application of methods for poverty and inequality estimation,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2019-20.pdf
COMP_024,Data Collection,Functional,Statistical Operations,Understanding and application of methods for collecting statistical data,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2019-20.pdf
COMP_025,Data Processing,Functional,Statistical Operations,Ability to process and prepare statistical data for analysis and dissemination,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2019-20.pdf
COMP_026,Data Dissemination,Functional,Statistical Operations,Ability to disseminate statistical information effectively,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2019-20.pdf
COMP_027,Information Technology,Functional,Technology,Use of information technology for statistical and administrative work,MoSPI/NSSTA,https://nssta.gov.in/offerings
COMP_028,Advanced IT,Functional,Technology,Application of advanced information technology tools in statistical work,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2020-21.pdf
COMP_029,Data Governance,Functional,Data Governance,Understanding frameworks and practices for maintaining data quality and governance,MoSPI,https://www.mospi.gov.in/
COMP_030,Data Quality,Functional,Data Governance,Ability to assess and maintain quality of statistical data,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf?download=1
COMP_031,Data Ethics,Functional,Data Governance,Understanding ethical considerations in data use and statistical work,NSSTA,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf?download=1
COMP_032,Statistical Data Management,Functional,Data Management,Managing statistical datasets throughout the statistical production process,MoSPI/NSSTA,https://nssta.gov.in/offerings
COMP_033,Leadership,Behavioural,Leadership,Leadership capabilities relevant to managing people and statistical programmes,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2020-21.pdf
COMP_034,Strategic Management,Functional,Management,Application of strategic management principles in government work,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2020-21.pdf
COMP_035,Management Skills,Functional,Management,Understanding and application of management principles in official work,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2020-21.pdf
COMP_036,Communication Skills,Behavioural,Communication,Effective professional communication in government and statistical work,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2020-21.pdf
COMP_037,Presentation Skills,Behavioural,Communication,Ability to present statistical information clearly and effectively,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf?download=1
COMP_038,Professional Skills,Behavioural,Professional Development,Professional capabilities required for effective government service,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf?download=1
COMP_039,Team Building,Behavioural,Professional Development,Ability to collaborate and work effectively within teams,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/main_menu/training/TrainingCalenderNSSTA2020-21.pdf
COMP_040,Influence and Persuasion,Behavioural,Communication,Ability to communicate ideas and influence stakeholders effectively,MoSPI/NSSTA,https://mospi.gov.in/sites/default/files/announcements/Circular_NSSTA_Advance_Training_Calander_FY%2825-26%29.pdf?download=1
COMP_041,Stakeholder Management,Functional,Stakeholder Engagement,Ability to engage and manage stakeholders relevant to statistical programmes,iGOT,https://www.igotkarmayogi.gov.in/assets/docs/Updated_user_manual-Karmayogi_portal.docx.pdf
COMP_042,Organisational Awareness,Behavioural,Organisational Effectiveness,Understanding organisational structures roles and operating context,iGOT,https://www.igotkarmayogi.gov.in/assets/docs/Updated_user_manual-Karmayogi_portal.docx.pdf
COMP_043,Empathy,Behavioural,Behavioural Competency,Ability to understand and respond appropriately to others,iGOT,https://www.igotkarmayogi.gov.in/assets/docs/Updated_user_manual-Karmayogi_portal.docx.pdf
COMP_044,Policy Development,Domain,Policy,Understanding and contributing to policy development,iGOT,https://www.igotkarmayogi.gov.in/assets/docs/Updated_user_manual-Karmayogi_portal.docx.pdf
